runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-zh-29BT,3,10000,20.97152,0.522,0.522,0.522,0.527
1p46G-gemma-commoncrawl-zh-29BT,3,10500,22.020096,0.52,0.52,0.52,0.529
1p46G-gemma-commoncrawl-zh-29BT,3,11000,23.068672,0.527,0.527,0.527,0.538
1p46G-gemma-commoncrawl-zh-29BT,3,11500,24.117248,0.525,0.525,0.525,0.537
1p46G-gemma-commoncrawl-zh-29BT,3,12000,25.165824,0.524,0.524,0.524,0.536
1p46G-gemma-commoncrawl-zh-29BT,3,12500,26.2144,0.522,0.522,0.522,0.549
1p46G-gemma-commoncrawl-zh-29BT,3,13000,27.262976,0.521,0.521,0.521,0.547
1p46G-gemma-commoncrawl-zh-29BT,3,13500,28.311552,0.53,0.53,0.53,0.545
1p46G-gemma-commoncrawl-zh-29BT,3,14000,29.360128,0.529,0.529,0.529,0.555
1p46G-gemma-commoncrawl-zh-29BT,3,1500,3.145728,0.555,0.555,0.555,0.512
1p46G-gemma-commoncrawl-zh-29BT,3,2000,4.194304,0.518,0.518,0.518,0.508
1p46G-gemma-commoncrawl-zh-29BT,3,2500,5.24288,0.532,0.532,0.532,0.53
1p46G-gemma-commoncrawl-zh-29BT,3,3000,6.291456,0.53,0.53,0.53,0.522
1p46G-gemma-commoncrawl-zh-29BT,3,3500,7.340032,0.538,0.538,0.538,0.51
1p46G-gemma-commoncrawl-zh-29BT,3,4000,8.388608,0.529,0.529,0.529,0.524
1p46G-gemma-commoncrawl-zh-29BT,3,4500,9.437184,0.513,0.513,0.513,0.499
1p46G-gemma-commoncrawl-zh-29BT,3,500,1.048576,0.505,0.505,0.505,0.5
1p46G-gemma-commoncrawl-zh-29BT,3,5000,10.48576,0.515,0.515,0.515,0.508
1p46G-gemma-commoncrawl-zh-29BT,3,5500,11.534336,0.516,0.516,0.516,0.503
1p46G-gemma-commoncrawl-zh-29BT,3,6000,12.582912,0.518,0.518,0.518,0.509
1p46G-gemma-commoncrawl-zh-29BT,3,6500,13.631488,0.525,0.525,0.525,0.531
1p46G-gemma-commoncrawl-zh-29BT,3,7000,14.680064,0.521,0.521,0.521,0.541
1p46G-gemma-commoncrawl-zh-29BT,3,7500,15.72864,0.519,0.519,0.519,0.536
1p46G-gemma-commoncrawl-zh-29BT,3,8000,16.777216,0.524,0.524,0.524,0.544
1p46G-gemma-commoncrawl-zh-29BT,3,8500,17.825792,0.53,0.53,0.53,0.525
1p46G-gemma-commoncrawl-zh-29BT,3,9000,18.874368,0.525,0.525,0.525,0.539
